iso,country,planted_forest__ha,primary_forest__ha,regenerated_forest__ha,fao_treecover__ha,area_ha
AFG,Afghanistan,0,,1208440,1208440,65286000
ALB,Albania,,84800,,789190,2.74E+06
DZA,Algeria,556000,0,1.40E+06,1956000,238174000
ASM,American Samoa,0,1380,17280,17280,2.00E+04
AND,Andorra,0,0,16000,16000,47000
AGO,Angola,840830,26743000,68541860,69382690,1.25E+08
AIA,Anguilla,,0,,5500,9000
ATG,Antigua and Barbuda,,0,,8450,44000
ARG,Argentina,1285000,,27812000,29097000,273669000
ARM,Armenia,19520,17000,3.10E+05,329520,2847000
ABW,Aruba,0,,420,420,18000
AUS,Australia,2417800,4504000,130676700,133094500,7.68E+08
AUT,Austria,1674500,63000,2206500,3881190,8252000
AZE,Azerbaijan,323370,,754520,1077890,8266000
BHS,Bahamas,0,0,509860,509860,1001000
BHR,Bahrain,600,,0,600,77000
BGD,Bangladesh,158070,,1725330,1883400,13017000
BRB,Barbados,0,,6300,6300,43000
BLR,Belarus,2211900,134800,6421600,8633500,20297800
BEL,Belgium,438200,0,251200,689300,3028000
BLZ,Belize,2330,,1330500,1332830,2281000
BEN,Benin,22000,0,3363150,3385150,11276000
BMU,Bermuda,,,,1000,5000
BTN,Bhutan,20270,413000,2694910,2715180,3812000
BOL,Bolivia (Plurinational State of),56950,,51970270,52027220,1.08E+08
BES,"Bonaire, Sint Eustatius and Saba",0,,1910,1910,32200
BIH,Bosnia and Herzegovina,119310,,2041190,2160500,5.12E+06
BWA,Botswana,0,,15846200,15846200,56673000
BRA,Brazil,9937900,217193000,493946800,503884800,835814000
VGB,British Virgin Islands,,,,3620,15000
BRN,Brunei Darussalam,5090,263000,374910,3.80E+05,527000
BGR,Bulgaria,824000,704000,3009000,3833000,10856000
BFA,Burkina Faso,149900,0,6316600,6466400,2.74E+07
BDI,Burundi,112970,64780,166670,279640,2568000
CPV,Cabo Verde,30540,0,13680,44220,403000
KHM,Cambodia,544270,322000,8302550,8846820,17652000
CMR,Cameroon,51100,0,20569380,20620480,47271000
CAN,Canada,16028730,205154180,331086980,347115710,909351000
CYM,Cayman Islands,0,,12720,12720,24000
CAF,Central African Republic,2000,2.37E+06,22451000,22453000,62298000
TCD,Chad,18300,,4872000,4.89E+06,1.26E+08
CHL,Chile,3045770,5198560,14550310,17596080,74353000
CHN,China,79010220,11453330,131284060,210294250,9.42E+08
COL,Colombia,424000,,59710660,60134660,1.11E+08
COM,Comoros,760,,34350,35110,186000
COG,Congo,59500,,21955500,22015000,3.42E+07
COK,Cook Islands,1100,0,14400,15590,24000
CRI,Costa Rica,76600,,2876430,2953030,5106000
HRV,Croatia,74840,6730,1847160,1922000,5596000
CUB,Cuba,528000,0,2656000,3184000,10402000
CUW,Curaçao,0,,70,70,44400
CYP,Cyprus,31150,0,141560,172710,924000
CZE,Czechia,2553440,9990,114960,2668390,7721000
CIV,Côte d'Ivoire,13950,1323690,3387200,3401150,3.18E+07
PRK,Democratic People's Republic of Korea,1003740,,5132500,6136240,12041000
COD,Democratic Republic of the Congo,57700,86365400,131604400,131662120,226705000
DNK,Denmark,459950,22090,164730,624680,4199000
DJI,Djibouti,0,0,5600,5600,2318000
DMA,Dominica,810,26300,47060,47870,75000
DOM,Dominican Republic,133880,,1969770,2103650,4831000
ECU,Ecuador,126890,,12692280,12819180,24836000
EGY,Egypt,48420,,0,48420,99545000
SLV,El Salvador,16330,,590050,606380,2072000
GNQ,Equatorial Guinea,125000,,2365220,2490220,2805000
ERI,Eritrea,38600,0,1032460,1071060,1.01E+07
EST,Estonia,214200,51430,2206800,2421010,4347000
SWZ,Eswatini,112230,450,379270,491500,1.72E+06
ETH,Ethiopia,972000,,16461500,17433500,111971550
FLK,Falkland Islands (Malvinas),0,0,0,0,1217000
FRO,Faroe Islands,80,0,0,80,1.40E+05
FJI,Fiji,186530,0,920090,1106620,1827000
FIN,Finland,7368080,203000,15040920,22409000,30391000
FRA,France,2.26E+06,,14576000,16836000,54756000
GUF,French Guyana,700,7658000,8019300,8.02E+06,8.22E+06
PYF,French Polynesia,9460,4.00E+04,1.40E+05,149460,366000
GAB,Gabon,3.00E+04,,2.36E+07,2.36E+07,25767000
GMB,Gambia,1780,13000,269560,271340,1012000
GEO,Georgia,71970,5.00E+05,2750430,2822400,6949000
DEU,Germany,5709500,0,5709500,11419000,34886000
GHA,Ghana,260450,395000,7619990,7880440,22754000
GIB,Gibraltar,0,0,0,0,1000
GRC,Greece,138900,,3762900,3901800,1.29E+07
GRL,Greenland,220,0,0,220,41045000
GRD,Grenada,210,2320,17490,17700,34000
GLP,Guadeloupe,500,7110,71720,72220,169000
GUM,Guam,0,,25000,25000,54000
GTM,Guatemala,131800,675720,3454000,3585800,10716000
GGY,Guernsey,220,0,190,420,8000
GIN,Guinea,53000,63000,6336000,6389000,24572000
GNB,Guinea-Bissau,880,,2021000,2022210,2812000
GUY,Guyana,0,9477000,18461360,18461360,19685000
HTI,Haiti,32000,,330850,362850,2756000
VAT,Holy See,0,0,0,0,0
HND,Honduras,0,,6463830,6463830,11189000
HUN,Hungary,792800,0,1268020,2060820,9053000
ISL,Iceland,36580,0,11580,48160,10025000
IND,India,13024000,15701000,57804000,70828000,297319000
IDN,Indonesia,4668400,45168400,90359500,95027900,187752000
IRN,Iran (Islamic Republic of),941000,2.00E+05,9750980,10691980,162876000
IRQ,Iraq,70350,0,754650,825000,43412800
IRL,Ireland,657800,0,96870,754670,6889000
IMN,Isle of Man,,,,3460,57000
ISR,Israel,89000,0,76000,165000,2164000
ITA,Italy,639640,93000,8657440,9297080,29414000
JAM,Jamaica,8340,84160,569120,577460,1083000
JPN,Japan,10218000,5.17E+06,14726000,24944000,36456000
JEY,Jersey,,0,,600,12000
JOR,Jordan,46900,0,50600,97500,8878000
KAZ,Kazakhstan,420840,62000,2887620,3308460,2.70E+08
KEN,Kenya,152790,,3369620,3522410,56914000
KIR,Kiribati,,,,1180,81000
KWT,Kuwait,6250,,0,6250,1782000
KGZ,Kyrgyzstan,196860,463400,1054950,1251810,1.92E+07
LAO,Lao People's Democratic Republic,1683500,,15084500,16768000,2.31E+07
LVA,Latvia,436540,15200,2954900,3391440,6218000
LBN,Lebanon,350,,139980,140330,1023000
LSO,Lesotho,8670,,25850,34520,3036000
LBR,Liberia,22720,,7746020,7768740,9632000
LBY,Libya,217000,,0,217000,175954000
LIE,Liechtenstein,600,1500,6100,6700,16000
LTU,Lithuania,585020,26540,1601980,2187000,6265000
LUX,Luxembourg,3.00E+04,0,58700,88700,243000
MDG,Madagascar,312000,2993000,12183890,12495890,5.82E+07
MWI,Malawi,86200,721000,2365500,2451700,9428000
MYS,Malaysia,1708000,1086160,17756220,19464220,32855000
MDV,Maldives,0,,820,820,3.00E+04
MLI,Mali,564000,0,12732000,13296000,122019000
MLT,Malta,0,0,350,350,32000
MHL,Marshall Islands,3130,5760,6270,9400,18000
MTQ,Martinique,2700,2800,48690,51290,106000
MRT,Mauritania,38020,0,302020,340040,1.03E+08
MUS,Mauritius,18000,20300,20300,38300,203000
MYT,Mayotte,500,,13650,14140,37000
MEX,Mexico,83860,32281010,66247050,66330910,194395000
FSM,Micronesia (Federated States of),14210,48370,50060,64270,7.00E+04
MCO,Monaco,0,0,0,0,0
MNG,Mongolia,7650,0,14170680,14178330,155356000
MNE,Montenegro,8000,1600,819000,827000,1345000
MSR,Montserrat,0,,2500,2500,1.00E+04
MAR,Morocco,576800,0,5107590,5684690,4.46E+07
MOZ,Mozambique,65990,,37874010,3.79E+07,78638000
MMR,Myanmar,406020,3192000,29586420,29992440,65308000
NAM,Namibia,0,,6993950,6993950,82329000
NRU,Nauru,0,0,0,0,2000
NPL,Nepal,220600,526000,5741430,5962030,14335000
NLD,Netherlands (Kingdom of the),324900,0,39930,364830,3369000
NCL,New Caledonia,10390,337600,828630,838520,1828000
NZL,New Zealand,2025100,1973000,7821510,9846610,26331000
NIC,Nicaragua,41110,,3866420,3907530,12034000
NER,Niger,1.10E+05,2.20E+05,1031800,1141800,1.27E+08
NGA,Nigeria,224430,,22219020,22443450,91077000
NIU,Niue,10,5400,18820,18820,26000
NFK,Norfolk Island,50,,440,490,4000
MKD,North Macedonia,,,,994400,2522000
MNP,Northern Mariana Islands,0,,29490,29490,46000
NOR,Norway,108000,2.00E+05,12033000,12141000,30413000
OMN,Oman,1000,,2000,3000,3.10E+07
PAK,Pakistan,253900,0,3678700,3932600,77088000
PLW,Palau,,,,40990,46000
PSE,Palestine,,,,10140,602000
PAN,Panama,61380,,4209530,4270910,7434000
PNG,Papua New Guinea,60750,27200900,35963270,36024420,45286000
PRY,Paraguay,98530,,17400410,17498940,3.97E+07
PER,Peru,1057170,,72137360,73194530,1.28E+08
PHL,Philippines,365540,861000,6648620,7014150,29817000
PCN,Pitcairn,,,,3500,5000
POL,Poland,7366000,0,2054000,9.42E+06,30619000
PRT,Portugal,2256000,22000,1056000,3312000,9161000
PRI,Puerto Rico,0,0,493880,493880,887000
QAT,Qatar,0,0,0,0,1161000
KOR,Republic of Korea,2281320,,4055680,6337000,9744500
MDA,Republic of Moldova,218700,,167700,386400,3288000
ROU,Romania,956490,127700,5944470,6900960,23008000
RUS,Russian Federation,19840960,263533700,795089500,814930460,1637687000
RWA,Rwanda,144000,,126000,2.70E+05,2467000
REU,Réunion,10700,53000,85340,96040,251000
BLM,Saint Barthélemy,0,0,170,170,2000
SHN,Saint Helena,0,,2000,2000,39000
KNA,Saint Kitts and Nevis,,,,11000,26000
LCA,Saint Lucia,3150,,17450,20770,61000
SPM,Saint Pierre and Miquelon,0,,1330,1330,23000
VCT,Saint Vincent and the Grenadines,260,,28280,28540,39000
MAF,Saint-Martin (French Part),0,0,1240,1240,5000
WSM,Samoa,5040,,159050,164070,283000
SMR,San Marino,0,0,1000,1000,6000
STP,Sao Tome and Principe,0,28000,55000,55000,96000
SAU,Saudi Arabia,0,3.60E+05,977000,977000,214969000
SEN,Senegal,32000,2055800,8236160,8268160,19253000
SRB,Serbia,215000,1000,2505000,2719530,8746000
SYC,Seychelles,4900,,28520,33700,46000
SLE,Sierra Leone,17950,85000,2615580,2633530,7218000
SGP,Singapore,0,,16470,16470,71000
SXM,Sint Maarten (Dutch part),0,,370,370,3400
SVK,Slovakia,746840,10580,1174910,1921750,4808000
SVN,Slovenia,44890,49000,1203110,1248000,2014000
SLB,Solomon Islands,25460,1738310,2501160,2526620,2799000
SOM,Somalia,3000,,6360750,6363750,62734000
ZAF,South Africa,3143620,428000,14088470,17232090,121309000
SSD,South Sudan,187900,,6969100,7157000,63173000
ESP,Spain,2619530,,15931650,18551180,49966100
LKA,Sri Lanka,248320,167000,1880500,2128820,6271000
SDN,Sudan,1.30E+05,1344700,19079930,19209930,186665000
SUR,Suriname,14150,14888680,15237520,15251670,1.56E+07
SJM,Svalbard and Jan Mayen Islands,0,0,0,0,6.10E+06
SWE,Sweden,13226000,2249000,14754000,2.80E+07,40731000
CHE,Switzerland,154710,42860,1097000,1251910,3952000
SYR,Syrian Arab Republic,196400,0,325680,522080,18363000
TJK,Tajikistan,116420,296000,305380,421800,13879000
THA,Thailand,3702000,,16359000,20061000,51089000
TLS,Timor-Leste,0,,928100,928100,1487000
TGO,Togo,54000,,1170080,1224070,5439000
TKL,Tokelau,0,0,0,0,1000
TON,Tonga,1000,4000,7950,8950,72000
TTO,Trinidad and Tobago,80700,62400,149590,230290,513000
TUN,Tunisia,206090,0,488990,695080,15536000
TKM,Turkmenistan,0,104000,4127000,4127000,46993000
TCA,Turks and Caicos Islands,0,,10520,10520,95000
TUV,Tuvalu,0,0,1000,1000,3000
TUR,Türkiye,698110,0,20932190,21630300,76963000
UGA,Uganda,415960,,2128210,2544160,20052000
UKR,Ukraine,4872000,59000,4785000,9657000,57929000
ARE,United Arab Emirates,,0,,317300,7102000
GBR,United Kingdom of Great Britain and Northern Ireland,2811000,0,344000,3155000,24193000
TZA,United Republic of Tanzania,553040,28508000,47536970,4.81E+07,8.86E+07
VIR,United States Virgin Islands,0,,19160,19160,35000
USA,United States of America,26364000,7.53E+07,283731000,310095000,914742000
URY,Uruguay,1071000,3.40E+05,849000,1.92E+06,17502000
UZB,Uzbekistan,2156000,210300,1393400,3549400,4.25E+07
VUT,Vanuatu,,205000,,442300,1219000
VEN,Venezuela (Bolivarian Republic of),1353590,45329410,45329410,46683000,88205000
VNM,Viet Nam,3886330,8.00E+04,10175530,14061860,31007000
WLF,Wallis and Futuna Islands,630,,5160,5830,14000
ESH,Western Sahara,0,,664700,664700,2.66E+07
YEM,Yemen,0,0,549000,549000,52797000
ZMB,Zambia,53240,,45701760,45755100,74339000
ZWE,Zimbabwe,108000,,17566930,17674930,38685000
