"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",7.51631835594672219,18.56509766869792323
"AGO",2456706.21353566967619279,2458061.80475656169887238
"ARG",4413491.56330557229173003,4418724.84046891148887007
"ATG",58.84759302234266349,90.61950718745441075
"AUS",13895.23328575282089153,13977.14238394465262475
"BDI",24848.18865241409243169,24895.42741482808071403
"BEN",1864.49521290922359536,1952.39852784498832909
"BES",741.83835482846020897,760.59447421466356453
"BGD",96620.22300754219767528,101114.35084575473673396
"BHS",11265.25790703917551319,11920.23427166989618764
"BLZ",1165487.97419847089790910,1166938.20310874981593185
"BOL",40834126.41045157684151547,40850721.28762726884327115
"BRA",343108415.91472603327224502,343260979.09319977872284538
"BRN",431452.69610707249905495,431532.90836753375272529
"BTN",1605449.26162498055202081,1645545.13617571403603796
"CAF",7363129.36650479848679662,7364402.00884099921830139
"CHL",0.0,0.73168401962348088
"CHN",1736513.57039246484971648,1760102.06391754002119645
"CIV",1364372.51242660435023583,1364751.89240856354309202
"CMR",19075625.26899146848743105,19082102.91204014862232952
"COD",104580298.04072100963677080,104595509.80409280430207811
"COG",21153216.41100290281424515,21157957.89229843692531672
"COL",54826508.24377105842127170,54899530.72106848685001289
"CRI",1485463.58331344325150882,1489050.46098761183398795
"CUB",400818.34625815526732764,440562.89158958963502556
"CUW",0.30077198523437502,0.30077198523437502
"CYM",6199.19541270849717486,6849.96901884102864501
"DMA",35962.89692741753694450,36045.31874100605188043
"DOM",316881.70050041302369547,318332.36671581503971449
"ECU",10637355.57510567330534479,10662455.02637477815333068
"ETH",1890183.93548836061275737,1906097.19447754122944147
"FJI",533104.70603848860575326,534683.91961360369003573
"GAB",22669515.35573478830491733,22683195.72733832552564740
"GHA",1091143.48122593736240460,1091345.27434359139938781
"GIN",233461.17973679450426017,235943.50085304876544901
"GLP",36892.20866491283021911,37068.83767602802277405
"GMB",110.53172934183104734,668.73277407976869537
"GNB",71370.57234542796058570,81741.15329690438383688
"GNQ",2246147.25833939847025923,2249642.12486539026468120
"GRD",0.0,0.07523703303982206
"GTM",2582104.68333533525645109,2583771.45706400545051331
"GUF",7854131.89673771836081189,7854982.07728766608773180
"GUY",17293026.86600000730326310,17297907.29923376601330625
"HND",2150089.28353927436974702,2154615.07605634932576765
"HTI",8682.49148902065186293,9193.90875583303626815
"IDN",93837922.08520228928729831,93872195.99894608102182121
"IND",6468125.97984726211668616,6583055.59600325826891578
"JAM",237105.10751574563056202,238194.24702275977656754
"KEN",649578.55667433145319874,650650.14350808884448329
"KHM",4297483.94512706953502269,4325701.56353672258259128
"KNA",5844.61541881592183591,5886.60494906264878183
"LAO",8314011.78006219722844265,8360414.90870412552453445
"LBR",4429053.83302596962032420,4430080.55472903167147664
"LCA",13935.50871138046769055,13973.55379604356732445
"LKA",596011.96243780760274167,596414.84833315234389547
"LSO",1.01109124505316853,1.4154914665603301
"MAF",803.95985089658227956,808.71940978283046526
"MDG",4853677.40191602464300380,4873080.70435103463760992
"MDV",830.45546853275292360,973.58801542988887399
"MEX",9210212.65230026965630063,9263680.00997890404724079
"MMR",14035358.61983368320183503,14142246.79211437672962708
"MOZ",119683.79689510913299246,126645.21870795114551987
"MSR",1728.60788213909837008,1747.78293849750471571
"MTQ",17072.33287242839263565,17257.52898378271957465
"MWI",5227.31367785759634411,5368.02427082325824694
"MYS",15942483.28362703220856250,15950084.59983596823602398
"NGA",1903129.20069638410149667,1917983.76149055711120785
"NIC",2019909.92097371515822406,2024916.82019480365762904
"NPL",725083.61471965539478208,745414.99087141423776589
"PAN",2932172.71237484332030610,2945454.38000670171190634
"PER",69103439.72217077481212444,69148716.54195349557570553
"PHL",4585025.42462356009805147,4588535.56424222735953688
"PLW",19006.55651425185422844,19148.66686438549622712
"PNG",32593947.47891056162204420,32611659.89010470986449033
"PRI",64517.13429804316940577,64747.94719020517952126
"PRY",3477414.43730796583917876,3482020.49951036329621401
"RWA",53731.80582522463629020,53781.84105344727488240
"SEN",3480.83992479827568099,10018.54268699244084758
"SGP",844.09448072410992187,845.70961337411562427
"SLB",1992868.83681904614056165,1995711.22683580874202499
"SLE",276388.28424518549072650,276675.60216740251439427
"SLV",50571.47143799448352152,52839.17064948554099710
"SSD",83749.73419318109739908,83939.82884439219187108
"SUR",12770367.30191884079398788,12775501.37468705766737233
"SXM",255.82601952539898616,259.04854781554976416
"TCA",2806.40593211832154823,3200.90098392214565330
"TGO",1632.08838813775592584,1653.86064997464638594
"THA",5931778.02184012951462680,5966361.46218529672354293
"TLS",350.16136688879011151,350.31372175678653080
"TTO",153656.69922832786690614,153795.79127244069848636
"TWN",606710.53063240408513761,608481.20743781145430672
"TZA",732170.36284834760375660,743477.16358880482926421
"UGA",509095.86665162131369430,509358.96977311497152478
"UMI",61.3999279439789917,62.1308860512185757
"USA",199884.28652887042702006,200776.05913984197502597
"VCT",6274.43162912049022417,6528.23847593257632748
"VEN",38598720.22560008602651640,38654064.76565579775837903
"VGB",3022.79850752656964981,3120.43756102787770383
"VIR",2723.86548795138930521,2762.61814573656801329
"VNM",6731518.30771728178192435,6792860.87086579722059319
"VUT",367518.62454950905993282,371390.69234209436922335
"Z07",3717283.11661580283497177,3760766.95730514251214732
"ZAF",125516.49144469992670547,125843.60567089982791009
"ZMB",331090.20625948190412360,331125.89921137042504116
"ZWE",7600.78156703809680812,7612.85384258569753959
